Sample,X(ms) [05.01.2024 13:48:30 205 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
3358,1704462510209.759623,0,0,0
3359,1704462510219.589127,0,0,0
3360,1704462510229.587639,0,0,0
3361,1704462510239.588184,0,0,0
3362,1704462510249.587877,0,0,0
3363,1704462510259.588542,0,0,0
3364,1704462510269.657626,0,0,0
3365,1704462510279.740285,0,0,0
3366,1704462510289.781997,0,0,0
3367,1704462510299.592406,0,0,0
3368,1704462510309.598151,0,0,0
3369,1704462510319.634162,0,0,0
3370,1704462510329.679221,0,0,0
3371,1704462510339.734949,0,0,0
3372,1704462510349.592205,0,0,0
3373,1704462510359.644137,0,0,0
3374,1704462510369.697721,0,0,0
3375,1704462510379.750595,0,0,0
3376,1704462510389.589126,0,0,0
3377,1704462510399.589060,0,0,0
3378,1704462510409.589124,0,0,0
3379,1704462510419.590631,0,0,0
3380,1704462510429.590154,0,0,0
3381,1704462510439.590258,0,0,0
3382,1704462510449.590092,0,0,0
3383,1704462510459.590045,0,0,0
3384,1704462510469.589929,0,0,0
3385,1704462510479.589983,0,0,0
3386,1704462510489.625083,0,0,0
3387,1704462510499.608075,0,0,0
3388,1704462510509.639418,0,0,0
3389,1704462510519.691730,0,0,0
3390,1704462510529.599411,0,0,0
3391,1704462510539.639480,0,0,0
3392,1704462510549.695650,0,0,0
3393,1704462510559.752490,0,0,0
3394,1704462510569.591983,0,0,0
3395,1704462510579.594732,0,0,0
3396,1704462510589.593404,0,0,0
3397,1704462510599.593638,0,0,0
3398,1704462510609.592340,0,0,0
3399,1704462510619.593496,0,0,0
3400,1704462510629.593180,0,0,0
3401,1704462510639.593153,0,0,0
3402,1704462510649.593037,0,0,0
3403,1704462510659.593131,0,0,0
3404,1704462510669.598886,0,0,0
3405,1704462510679.620441,0,0,0
3406,1704462510689.665760,0,0,0
3407,1704462510699.715567,0,0,0
3408,1704462510709.769152,0,0,0
3409,1704462510719.633010,0,0,0
3410,1704462510729.680393,0,0,0
3411,1704462510739.736893,0,0,0
3412,1704462510749.794495,0,0,0
3413,1704462510759.595185,0,0,0
3414,1704462510769.594969,0,0,0
3415,1704462510779.594953,0,0,0
3416,1704462510789.599666,0,0,0
3417,1704462510799.596875,0,0,0
3418,1704462510809.596578,0,0,0
3419,1704462510819.596011,0,0,0
3420,1704462510829.601876,0,0,0
3421,1704462510839.597402,0,0,0
3422,1704462510849.597486,0,0,0
3423,1704462510859.607238,0,0,0
3424,1704462510869.693785,0,0,0
3425,1704462510879.746247,0,0,0
3426,1704462510889.798569,0,0,0
3427,1704462510899.597526,0,0,0
3428,1704462510909.597821,0,0,0
3429,1704462510919.598135,0,0,0
3430,1704462510929.597859,0,0,0
3431,1704462510939.682802,0,0,0
3432,1704462510949.599520,0,0,0
3433,1704462510959.599383,0,0,0
3434,1704462510969.605649,0,0,0
3435,1704462510979.599602,0,0,0
3436,1704462510989.599315,0,0,0
3437,1704462510999.600131,0,0,0
3438,1704462511009.658925,1,1,1
3439,1704462511019.724793,1,1,1
3440,1704462511029.762267,1,1,1
3441,1704462511039.629212,1,1,1
3442,1704462511049.696642,1,1,1
3443,1704462511059.742182,1,1,1
3444,1704462511069.799213,1,1,1
3445,1704462511079.600945,1,1,1
3446,1704462511089.599857,1,1,1
3447,1704462511099.613937,1,1,1
3448,1704462511109.606958,1,1,1
3449,1704462511119.601151,1,1,1
3450,1704462511129.604411,1,1,1
3451,1704462511139.601981,1,1,1
3452,1704462511149.602185,1,1,1
3453,1704462511159.600967,1,1,1
3454,1704462511169.628112,1,1,1
3455,1704462511179.682027,1,1,1
3456,1704462511189.731053,1,1,1
3457,1704462511199.728412,1,1,1
3458,1704462511209.781976,0,0,0
3459,1704462511219.603526,0,0,0
3460,1704462511229.601626,0,0,0
3461,1704462511239.605387,0,0,0
3462,1704462511249.602696,0,0,0
3463,1704462511259.602930,0,0,0
3464,1704462511269.602874,0,0,0
3465,1704462511279.650708,0,0,0
3466,1704462511289.703932,0,0,0
3467,1704462511299.753649,0,0,0
3468,1704462511309.609022,0,0,0
3469,1704462511319.663468,0,0,0
3470,1704462511329.716071,0,0,0
3471,1704462511339.765988,0,0,0
3472,1704462511349.603478,0,0,0
3473,1704462511359.604534,0,0,0
3474,1704462511369.604678,0,0,0
3475,1704462511379.604471,0,0,0
3476,1704462511389.795644,0,0,0
3477,1704462511399.605061,0,0,0
3478,1704462511409.604894,0,0,0
3479,1704462511419.606201,0,0,0
3480,1704462511429.607597,0,0,0
3481,1704462511439.606008,0,0,0
3482,1704462511449.650245,0,0,0
3483,1704462511459.707126,0,0,0
3484,1704462511469.754078,0,0,0
3485,1704462511479.612286,0,0,0
3486,1704462511489.664158,0,0,0
3487,1704462511499.714947,0,0,0
3488,1704462511509.782217,0,0,0
3489,1704462511519.607293,0,0,0
3490,1704462511529.606576,0,0,0
3491,1704462511539.643699,0,0,0
3492,1704462511549.607445,0,0,0
3493,1704462511559.607469,0,0,0
3494,1704462511569.651937,0,0,0
3495,1704462511579.668682,0,0,0
3496,1704462511589.724260,0,0,0
3497,1704462511599.681093,0,0,0
3498,1704462511609.716704,0,0,0
3499,1704462511619.770319,0,0,0
3500,1704462511629.613539,0,0,0
3501,1704462511639.608383,0,0,0
3502,1704462511649.608507,0,0,0
3503,1704462511659.608301,0,0,0
3504,1704462511669.609387,0,0,0
3505,1704462511679.609651,0,0,0
3506,1704462511689.609345,0,0,0
3507,1704462511699.611323,0,0,0
3508,1704462511709.610215,0,0,0
3509,1704462511719.609377,0,0,0
3510,1704462511729.609371,0,0,0
3511,1704462511739.645944,0,0,0
3512,1704462511749.683117,0,0,0
3513,1704462511759.732955,0,0,0
3514,1704462511769.784065,0,0,0
3515,1704462511779.642914,0,0,0
3516,1704462511789.696328,0,0,0
3517,1704462511799.744863,0,0,0
3518,1704462511809.800742,0,0,0
3519,1704462511819.627571,0,0,0
3520,1704462511829.611265,0,0,0
3521,1704462511839.612731,0,0,0
3522,1704462511849.611313,0,0,0
3523,1704462511859.612239,0,0,0
3524,1704462511869.613024,0,0,0
3525,1704462511879.612196,0,0,0
3526,1704462511889.612110,0,0,0
3527,1704462511899.613287,0,0,0
3528,1704462511909.612188,0,0,0
3529,1704462511919.677355,0,0,0
3530,1704462511929.752951,0,0,0
3531,1704462511939.787980,0,0,0
3532,1704462511949.647942,0,0,0
3533,1704462511959.717827,0,0,0
3534,1704462511969.754289,0,0,0
3535,1704462511979.813865,0,0,0
3536,1704462511989.652426,0,0,0
3537,1704462511999.614329,0,0,0
3538,1704462512009.614112,1,1,1
3539,1704462512019.614908,1,1,1
3540,1704462512029.614551,1,1,1
3541,1704462512039.614194,1,1,1
3542,1704462512049.615020,1,1,1
3543,1704462512059.615485,1,1,1
3544,1704462512069.616320,1,1,1
3545,1704462512079.662591,1,1,1
3546,1704462512089.722628,1,1,1
3547,1704462512099.789387,1,1,1
3548,1704462512109.635042,1,1,1
3549,1704462512119.688506,1,1,1
3550,1704462512129.739726,1,1,1
3551,1704462512139.794563,1,1,1
3552,1704462512149.616002,1,1,1
3553,1704462512159.616998,1,1,1
3554,1704462512169.617002,1,1,1
3555,1704462512179.620172,1,1,1
3556,1704462512189.616910,1,1,1
3557,1704462512199.617184,1,1,1
3558,1704462512209.618210,0,0,0
3559,1704462512219.616892,0,0,0
3560,1704462512229.618068,0,0,0
3561,1704462512239.617972,0,0,0
3562,1704462512249.619098,0,0,0
3563,1704462512259.621927,0,0,0
3564,1704462512269.618224,0,0,0
3565,1704462512279.618368,0,0,0
3566,1704462512289.662245,0,0,0
3567,1704462512299.696764,0,0,0
3568,1704462512309.782198,0,0,0
3569,1704462512319.645185,0,0,0
3570,1704462512329.686677,0,0,0
3571,1704462512339.792840,0,0,0
3572,1704462512349.767807,0,0,0
3573,1704462512359.625294,0,0,0
3574,1704462512369.679780,0,0,0
3575,1704462512379.730519,0,0,0
3576,1704462512389.784574,0,0,0
3577,1704462512399.629978,0,0,0
3578,1704462512409.621186,0,0,0
3579,1704462512419.621220,0,0,0
3580,1704462512429.621034,0,0,0
3581,1704462512439.621008,0,0,0
3582,1704462512449.623637,0,0,0
3583,1704462512459.621837,0,0,0
3584,1704462512469.622102,0,0,0
3585,1704462512479.622797,0,0,0
3586,1704462512489.621138,0,0,0
3587,1704462512499.623687,0,0,0
3588,1704462512509.640883,0,0,0
3589,1704462512519.701671,0,0,0
3590,1704462512529.749775,0,0,0
3591,1704462512539.801046,0,0,0
3592,1704462512549.622945,0,0,0
3593,1704462512559.630774,0,0,0
3594,1704462512569.623074,0,0,0
3595,1704462512579.622757,0,0,0
3596,1704462512589.628482,0,0,0
3597,1704462512599.622765,0,0,0
3598,1704462512609.623220,0,0,0
3599,1704462512619.624096,0,0,0
3600,1704462512629.624070,0,0,0
3601,1704462512639.625566,0,0,0
3602,1704462512649.640779,0,0,0
3603,1704462512659.780816,0,0,0
3604,1704462512669.741376,0,0,0
3605,1704462512679.801162,0,0,0
3606,1704462512689.627761,0,0,0
3607,1704462512699.627734,0,0,0
3608,1704462512709.626777,0,0,0
3609,1704462512719.625468,0,0,0
3610,1704462512729.630241,0,0,0
3611,1704462512739.625106,0,0,0
3612,1704462512749.626663,0,0,0
3613,1704462512759.625895,0,0,0
3614,1704462512769.625969,0,0,0
3615,1704462512779.626494,0,0,0
3616,1704462512789.655443,0,0,0
3617,1704462512799.709117,0,0,0
3618,1704462512809.767441,0,0,0
3619,1704462512819.816226,0,0,0
3620,1704462512829.681658,0,0,0
3621,1704462512839.726306,0,0,0
3622,1704462512849.794257,0,0,0
3623,1704462512859.628169,0,0,0
3624,1704462512869.629095,0,0,0
3625,1704462512879.628668,0,0,0
3626,1704462512889.629394,0,0,0
3627,1704462512899.628797,0,0,0
3628,1704462512909.698912,0,0,0
3629,1704462512919.757115,0,0,0
3630,1704462512929.813956,0,0,0
3631,1704462512939.673096,0,0,0
3632,1704462512949.732672,0,0,0
3633,1704462512959.782599,0,0,0
3634,1704462512969.628364,0,0,0
3635,1704462512979.630993,0,0,0
3636,1704462512989.628452,0,0,0
3637,1704462512999.632103,0,0,0
3638,1704462513009.638459,1,1,1
