Sample,X(ms) [09.01.2024 18:47:34 625 UTC],"ExecutePWM_DB.I_furnancePower","ExecutePWM_DB.I_tempSetPoint","ExecutePWM_DB.tempAfterScaled","ExecutePWM_DB.I_flowSetPoint","ExecutePWM_DB.flowFlow"
73,1704826054880.611501,100,30,14.4871234893799,2,1.99000000953674
74,1704826055180.637221,91.5294570922852,30,14.4871234893799,2,1.99000000953674
75,1704826055480.616141,91.5294570922852,30,14.4871234893799,2,1.99000000953674
76,1704826055780.616181,91.5294570922852,30,14.4820604324341,2,1.99000000953674
77,1704826056080.631034,91.5294570922852,30,14.4820604324341,2,1.99000000953674
78,1704826056380.613785,92.9037933349609,30,14.4820604324341,2,1.99000000953674
79,1704826056680.615092,92.9037933349609,30,14.476996421814,2,1.99000000953674
80,1704826056980.639608,92.9037933349609,30,14.476996421814,2,1.99000000953674
81,1704826057280.615394,95.538444519043,30,14.4719333648682,2,1.99000000953674
82,1704826057580.623314,95.538444519043,30,14.4719333648682,2,1.9799998998642
83,1704826057880.666981,95.538444519043,30,14.4719333648682,2,1.99000000953674
84,1704826058180.620434,98.2879486083984,30,14.4668684005737,2,1.99000000953674
85,1704826058480.623625,98.2879486083984,30,14.4668684005737,2,2
86,1704826058780.627061,98.2879486083984,30,14.4719333648682,2,1.99000000953674
87,1704826059080.609768,98.2879486083984,30,14.4719333648682,2,1.99000000953674
88,1704826059380.612381,100,30,14.476996421814,2,1.99000000953674
89,1704826059680.635848,100,30,14.4871234893799,2,1.99000000953674
90,1704826059980.612088,100,30,14.5023145675659,2,1.99000000953674
91,1704826060280.611799,100,30,14.5428237915039,2,1.99000000953674
92,1704826060580.632225,100,30,14.5833330154419,2,1.99000000953674
93,1704826060880.647248,100,30,14.6339702606201,2,2
94,1704826061180.612141,100,30,14.709924697876,2,2
95,1704826061480.623714,100,30,14.8567705154419,2,2
96,1704826061780.617208,100,30,14.983362197876,2,2
97,1704826062080.630532,100,30,15.1302080154419,2,1.99000000953674
98,1704826062380.612732,100,30,15.3074359893799,2,1.99000000953674
99,1704826062680.640025,100,30,15.5099821090698,2,1.99000000953674
100,1704826062980.646665,100,30,15.8695020675659,2,1.9799998998642
101,1704826063280.633545,100,30,16.1530666351318,2,1.9799998998642
102,1704826063580.642488,100,30,16.4771404266357,2,1.99000000953674
103,1704826063880.615612,100,30,16.841724395752,2,1.99000000953674
104,1704826064180.612990,95.8992538452148,30,17.474681854248,2,1.99000000953674
105,1704826064480.619648,95.8992538452148,30,17.9607944488525,2,1.9799998998642
