Sample,X(ms) [05.01.2024 13:09:18 410 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
845,1704460158413.167508,1,0,0
846,1704460158423.219789,1,0,0
847,1704460158433.273832,1,0,0
848,1704460158443.217148,1,0,0
849,1704460158453.133865,1,0,0
850,1704460158463.131252,1,0,0
851,1704460158473.154007,1,0,0
852,1704460158483.273383,1,0,0
853,1704460158493.103477,1,0,0
854,1704460158503.206613,1,0,0
855,1704460158513.365223,1,0,0
856,1704460158523.095690,1,0,0
857,1704460158533.111031,1,0,0
858,1704460158543.094602,1,0,0
859,1704460158553.099053,1,0,0
860,1704460158563.097282,1,0,0
861,1704460158573.108025,1,0,0
862,1704460158583.290179,1,0,0
863,1704460158593.209440,1,0,0
864,1704460158603.283331,1,0,0
865,1704460158613.093186,1,0,0
866,1704460158623.090614,1,0,0
867,1704460158633.088753,1,0,0
868,1704460158643.089817,1,0,0
869,1704460158653.089699,1,0,0
870,1704460158663.089942,1,0,0
871,1704460158673.091037,1,0,0
872,1704460158683.089686,1,0,0
873,1704460158693.089699,1,0,0
874,1704460158703.090082,1,0,0
875,1704460158713.094613,1,0,0
876,1704460158723.159096,1,0,0
877,1704460158733.209483,1,0,0
878,1704460158743.263607,1,0,0
879,1704460158753.124208,1,0,0
880,1704460158763.176428,1,0,0
881,1704460158773.244929,1,0,0
882,1704460158783.092706,1,0,0
883,1704460158793.091726,1,0,0
884,1704460158803.091669,1,0,0
885,1704460158813.145262,1,0,0
886,1704460158823.169279,1,0,0
887,1704460158833.228833,1,0,0
888,1704460158843.093131,1,0,0
889,1704460158853.153376,1,0,0
890,1704460158863.206298,1,0,0
891,1704460158873.259019,1,0,0
892,1704460158883.096116,1,0,0
893,1704460158893.105987,1,0,0
894,1704460158903.093496,1,0,0
895,1704460158913.093619,1,1,0
896,1704460158923.093681,1,1,0
897,1704460158933.093583,1,1,0
898,1704460158943.095790,1,1,0
899,1704460158953.094590,1,1,0
900,1704460158963.094893,1,1,0
901,1704460158973.094595,1,1,0
902,1704460158983.094847,1,1,0
903,1704460158993.121029,1,1,0
904,1704460159003.193247,1,1,0
905,1704460159013.230700,1,1,0
906,1704460159023.283691,1,1,0
907,1704460159033.137329,1,1,0
908,1704460159043.186514,1,1,0
909,1704460159053.096387,1,1,0
910,1704460159063.095247,1,1,0
911,1704460159073.095360,1,1,0
912,1704460159083.099650,1,1,0
913,1704460159093.096236,1,1,0
914,1704460159103.100817,1,1,0
915,1704460159113.097473,1,1,0
916,1704460159123.097345,1,1,0
917,1704460159133.158913,1,1,0
918,1704460159143.222174,1,1,0
919,1704460159153.274886,1,1,0
920,1704460159163.100311,1,1,0
921,1704460159173.115211,1,1,0
922,1704460159183.113891,1,1,0
923,1704460159193.102121,1,1,0
924,1704460159203.104598,1,1,0
925,1704460159213.111844,1,1,0
926,1704460159223.176027,1,1,0
927,1704460159233.265317,1,1,0
928,1704460159243.129044,1,1,0
929,1704460159253.239784,1,1,0
930,1704460159263.323613,1,1,0
931,1704460159273.113942,1,1,0
932,1704460159283.114766,1,1,0
933,1704460159293.111292,1,1,0
934,1704460159303.109752,1,1,0
935,1704460159313.108181,1,1,0
936,1704460159323.157656,1,1,0
937,1704460159333.175232,1,1,0
938,1704460159343.222974,1,1,0
939,1704460159353.277628,1,1,0
940,1704460159363.136165,1,1,0
941,1704460159373.190049,1,1,0
942,1704460159383.246828,1,1,0
943,1704460159393.297145,1,1,0
944,1704460159403.100027,1,1,0
945,1704460159413.100030,1,0,0
946,1704460159423.101084,1,0,0
947,1704460159433.101086,1,0,0
948,1704460159443.101880,1,0,0
949,1704460159453.100861,1,0,0
950,1704460159463.101003,1,0,0
951,1704460159473.106336,1,0,0
952,1704460159483.102110,1,0,0
953,1704460159493.104307,1,0,0
954,1704460159503.122744,1,0,0
955,1704460159513.185243,1,0,0
956,1704460159523.245308,1,0,0
957,1704460159533.289914,1,0,0
958,1704460159543.149453,1,0,0
959,1704460159553.210500,1,0,0
960,1704460159563.260065,1,0,0
961,1704460159573.103805,1,0,0
962,1704460159583.111021,1,0,0
963,1704460159593.113718,1,0,0
964,1704460159603.110033,1,0,0
965,1704460159613.163576,1,0,0
966,1704460159623.249630,1,0,0
967,1704460159633.283837,1,0,0
968,1704460159643.111416,1,0,0
969,1704460159653.113372,1,0,0
970,1704460159663.110669,1,0,0
971,1704460159673.105482,1,0,0
972,1704460159683.104833,1,0,0
973,1704460159693.104955,1,0,0
974,1704460159703.113313,1,0,0
975,1704460159713.104950,1,0,0
976,1704460159723.104732,1,0,0
977,1704460159733.139159,1,0,0
978,1704460159743.193794,1,0,0
979,1704460159753.256173,1,0,0
980,1704460159763.108348,1,0,0
981,1704460159773.160068,1,0,0
982,1704460159783.223760,1,0,0
983,1704460159793.269277,1,0,0
984,1704460159803.108608,1,0,0
985,1704460159813.106587,1,0,0
986,1704460159823.106690,1,0,0
987,1704460159833.106712,1,0,0
988,1704460159843.106614,1,0,0
989,1704460159853.106637,1,0,0
990,1704460159863.106699,1,0,0
991,1704460159873.106661,1,0,0
992,1704460159883.107726,1,0,0
993,1704460159893.138336,1,0,0
994,1704460159903.190305,1,0,0
