Sample,X(ms) [05.01.2024 13:33:02 415 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
753,1704461582416.136732,0,1,1
754,1704461582426.194092,0,1,1
755,1704461582436.246623,0,1,1
756,1704461582446.075073,0,1,1
757,1704461582456.074505,0,1,1
758,1704461582466.074026,0,1,1
759,1704461582476.074269,0,1,1
760,1704461582486.073740,0,1,1
761,1704461582496.073442,0,1,1
762,1704461582506.100545,0,1,1
763,1704461582516.074589,0,1,1
764,1704461582526.124375,0,1,1
765,1704461582536.090764,0,1,1
766,1704461582546.074055,0,1,1
767,1704461582556.073947,0,1,1
768,1704461582566.077086,0,1,1
769,1704461582576.073932,0,1,1
770,1704461582586.073974,0,1,1
771,1704461582596.076241,0,1,1
772,1704461582606.074350,0,1,1
773,1704461582616.075374,0,1,1
774,1704461582626.076739,0,1,1
775,1704461582636.076261,0,1,1
776,1704461582646.132779,0,1,1
777,1704461582656.193375,0,1,1
778,1704461582666.240306,0,1,1
779,1704461582676.096328,0,1,1
780,1704461582686.148188,0,1,1
781,1704461582696.198835,0,1,1
782,1704461582706.252999,0,1,1
783,1704461582716.076149,0,1,1
784,1704461582726.075771,0,1,1
785,1704461582736.076795,0,1,1
786,1704461582746.077159,0,1,1
787,1704461582756.077922,0,1,1
788,1704461582766.076993,0,1,1
789,1704461582776.077296,0,1,1
790,1704461582786.076898,0,1,1
791,1704461582796.077932,0,1,1
792,1704461582806.077894,0,1,1
793,1704461582816.077836,0,1,1
794,1704461582826.086134,0,1,1
795,1704461582836.142893,0,1,1
796,1704461582846.204672,0,1,1
797,1704461582856.249979,0,1,1
798,1704461582866.105089,0,1,1
799,1704461582876.156017,0,1,1
800,1704461582886.209791,0,1,1
801,1704461582896.264776,0,1,1
802,1704461582906.079521,0,1,1
803,1704461582916.079063,0,1,1
804,1704461582926.083714,0,1,1
805,1704461582936.080039,0,1,1
806,1704461582946.081645,0,1,1
807,1704461582956.335583,0,1,1
808,1704461582966.169995,0,1,1
809,1704461582976.220532,0,1,1
810,1704461582986.282982,0,1,1
811,1704461582996.086666,0,1,1
812,1704461583006.080527,0,1,1
813,1704461583016.080619,1,1,1
814,1704461583026.081083,1,1,1
815,1704461583036.082227,1,1,1
816,1704461583046.081558,1,1,1
817,1704461583056.081981,1,1,1
818,1704461583066.083957,1,1,1
819,1704461583076.081605,1,1,1
820,1704461583086.081858,1,1,1
821,1704461583096.081760,1,1,1
822,1704461583106.113883,1,1,1
823,1704461583116.166945,1,1,1
824,1704461583126.219927,1,1,1
825,1704461583136.082481,1,1,1
826,1704461583146.084007,1,1,1
827,1704461583156.082676,1,1,1
828,1704461583166.086446,1,1,1
829,1704461583176.090446,1,1,1
830,1704461583186.084126,1,1,1
831,1704461583196.084449,1,1,1
832,1704461583206.088629,1,1,1
833,1704461583216.085155,1,1,1
834,1704461583226.085418,1,1,1
835,1704461583236.107302,1,1,1
836,1704461583246.168649,1,1,1
837,1704461583256.228824,1,1,1
838,1704461583266.094735,1,1,1
839,1704461583276.152306,1,1,1
840,1704461583286.354467,1,1,1
841,1704461583296.084503,1,1,1
842,1704461583306.084506,1,1,1
843,1704461583316.085600,1,1,1
844,1704461583326.085402,1,1,1
845,1704461583336.085384,1,1,1
846,1704461583346.088172,1,1,1
847,1704461583356.087623,1,1,1
848,1704461583366.086994,1,1,1
849,1704461583376.088490,1,1,1
850,1704461583386.087550,1,1,1
851,1704461583396.088064,1,1,1
852,1704461583406.120727,1,1,1
853,1704461583416.222851,1,1,1
854,1704461583426.259372,0,1,1
855,1704461583436.097922,0,1,1
856,1704461583446.159570,0,1,1
857,1704461583456.217871,0,1,1
858,1704461583466.288256,0,1,1
859,1704461583476.089826,0,1,1
860,1704461583486.087364,0,1,1
861,1704461583496.088258,0,1,1
862,1704461583506.091166,0,1,1
863,1704461583516.089585,0,1,1
864,1704461583526.088796,0,1,1
865,1704461583536.094850,0,1,1
866,1704461583546.090223,0,1,1
867,1704461583556.089805,0,1,1
868,1704461583566.100267,0,1,1
869,1704461583576.135516,0,1,1
870,1704461583586.198226,0,1,1
871,1704461583596.251628,0,1,1
872,1704461583606.111618,0,1,1
873,1704461583616.218461,0,1,1
874,1704461583626.270150,0,1,1
875,1704461583636.090335,0,1,1
876,1704461583646.091249,0,1,1
877,1704461583656.089999,0,1,1
878,1704461583666.090292,0,1,1
879,1704461583676.134768,0,1,1
880,1704461583686.092751,0,1,1
881,1704461583696.093275,0,1,1
882,1704461583706.091394,0,1,1
883,1704461583716.093300,0,1,1
884,1704461583726.091659,0,1,1
885,1704461583736.127959,0,1,1
886,1704461583746.183726,0,1,1
887,1704461583756.243411,0,1,1
888,1704461583766.100224,0,1,1
889,1704461583776.152665,0,1,1
890,1704461583786.244310,0,1,1
891,1704461583796.272254,0,1,1
892,1704461583806.092229,0,1,1
893,1704461583816.093193,0,1,1
894,1704461583826.092003,0,1,1
895,1704461583836.094100,0,1,1
896,1704461583846.092920,0,1,1
897,1704461583856.092932,0,1,1
898,1704461583866.095189,0,1,1
899,1704461583876.093007,0,1,1
900,1704461583886.093871,0,1,1
901,1704461583896.093974,0,1,1
902,1704461583906.093956,0,1,1
903,1704461583916.115288,0,1,1
904,1704461583926.167018,0,1,1
905,1704461583936.219489,0,1,1
906,1704461583946.181259,0,1,1
907,1704461583956.292571,0,1,1
908,1704461583966.094932,0,1,1
909,1704461583976.120983,0,1,1
910,1704461583986.095167,0,1,1
911,1704461583996.094709,0,1,1
912,1704461584006.097146,0,1,1
913,1704461584016.097920,0,1,1
914,1704461584026.095848,1,1,1
915,1704461584036.097093,1,1,1
916,1704461584046.222981,1,1,1
917,1704461584056.280482,1,1,1
918,1704461584066.140572,1,1,1
919,1704461584076.191279,1,1,1
920,1704461584086.242858,1,1,1
921,1704461584096.294357,1,1,1
922,1704461584106.096669,1,1,1
923,1704461584116.097974,1,1,1
924,1704461584126.097936,1,1,1
925,1704461584136.098409,1,1,1
926,1704461584146.097690,1,1,1
927,1704461584156.097552,1,1,1
928,1704461584166.101262,1,1,1
929,1704461584176.097657,1,1,1
930,1704461584186.097730,1,1,1
931,1704461584196.097892,1,1,1
932,1704461584206.099468,1,1,1
933,1704461584216.132733,1,1,1
934,1704461584226.205622,1,1,1
935,1704461584236.237364,1,1,1
936,1704461584246.287831,1,1,1
937,1704461584256.147099,1,1,1
938,1704461584266.203728,1,1,1
939,1704461584276.254726,1,1,1
940,1704461584286.099988,1,1,1
941,1704461584296.099529,1,1,1
942,1704461584306.106855,1,1,1
943,1704461584316.101498,1,1,1
944,1704461584326.103684,1,1,1
945,1704461584336.101302,1,1,1
946,1704461584346.101946,1,1,1
947,1704461584356.129209,1,1,1
948,1704461584366.102071,1,1,1
949,1704461584376.102554,1,1,1
950,1704461584386.169562,1,1,1
951,1704461584396.199701,1,1,1
952,1704461584406.259365,1,1,1
953,1704461584416.102854,1,1,1
954,1704461584426.101394,0,1,1
955,1704461584436.101667,0,1,1
956,1704461584446.112750,0,1,1
957,1704461584456.102363,0,1,1
958,1704461584466.102906,0,1,1
959,1704461584476.103920,0,1,1
960,1704461584486.102600,0,1,1
961,1704461584496.102873,0,1,1
962,1704461584506.102595,0,1,1
963,1704461584516.112336,0,1,1
964,1704461584526.127677,0,1,1
965,1704461584536.172433,0,1,1
966,1704461584546.224644,0,1,1
967,1704461584556.281953,0,1,1
968,1704461584566.141021,0,1,1
969,1704461584576.195085,0,1,1
970,1704461584586.250191,0,1,1
971,1704461584596.303443,0,1,1
972,1704461584606.106927,0,1,1
973,1704461584616.108172,0,1,1
974,1704461584626.105589,0,1,1
975,1704461584636.107615,0,1,1
976,1704461584646.107467,0,1,1
977,1704461584656.107259,0,1,1
978,1704461584666.107623,0,1,1
979,1704461584676.107585,0,1,1
980,1704461584686.106876,0,1,1
981,1704461584696.131605,0,1,1
982,1704461584706.192942,0,1,1
983,1704461584716.182886,0,1,1
984,1704461584726.238863,0,1,1
985,1704461584736.290011,0,1,1
986,1704461584746.106790,0,1,1
987,1704461584756.130888,0,1,1
988,1704461584766.107676,0,1,1
989,1704461584776.107368,0,1,1
990,1704461584786.108393,0,1,1
991,1704461584796.107764,0,1,1
992,1704461584806.108518,0,1,1
993,1704461584816.107187,0,1,1
994,1704461584826.108252,0,1,1
995,1704461584836.108274,0,1,1
996,1704461584846.140116,0,1,1
997,1704461584856.194821,0,1,1
998,1704461584866.267099,0,1,1
999,1704461584876.109746,0,1,1
1000,1704461584886.189278,0,1,1
1001,1704461584896.276614,0,1,1
1002,1704461584906.291134,0,1,1
1003,1704461584916.109085,0,1,1
1004,1704461584926.109037,0,1,1
1005,1704461584936.109049,0,1,1
1006,1704461584946.109182,0,1,1
1007,1704461584956.111449,0,1,1
1008,1704461584966.110319,0,1,1
1009,1704461584976.110191,0,1,1
1010,1704461584986.111165,0,1,1
1011,1704461584996.195175,0,1,1
1012,1704461585006.249710,0,1,1
1013,1704461585016.305076,0,1,1
1014,1704461585026.111015,1,1,1
1015,1704461585036.111197,1,1,1
1016,1704461585046.111370,1,1,1
1017,1704461585056.111452,1,1,1
1018,1704461585066.111325,1,1,1
1019,1704461585076.112429,1,1,1
1020,1704461585086.112602,1,1,1
1021,1704461585096.118155,1,1,1
1022,1704461585106.113418,1,1,1
1023,1704461585116.113621,1,1,1
1024,1704461585126.144942,1,1,1
1025,1704461585136.202212,1,1,1
1026,1704461585146.290450,1,1,1
1027,1704461585156.147734,1,1,1
1028,1704461585166.211957,1,1,1
1029,1704461585176.267995,1,1,1
1030,1704461585186.115160,1,1,1
1031,1704461585196.117567,1,1,1
1032,1704461585206.120756,1,1,1
1033,1704461585216.113965,1,1,1
1034,1704461585226.114008,1,1,1
1035,1704461585236.115483,1,1,1
1036,1704461585246.113862,1,1,1
1037,1704461585256.114766,1,1,1
1038,1704461585266.113767,1,1,1
1039,1704461585276.114771,1,1,1
1040,1704461585286.117368,1,1,1
1041,1704461585296.115517,1,1,1
1042,1704461585306.163149,1,1,1
1043,1704461585316.213406,1,1,1
1044,1704461585326.267700,1,1,1
1045,1704461585336.158337,1,1,1
1046,1704461585346.229794,1,1,1
1047,1704461585356.262708,1,1,1
1048,1704461585366.313585,1,1,1
1049,1704461585376.115917,1,1,1
1050,1704461585386.115819,1,1,1
1051,1704461585396.118416,1,1,1
1052,1704461585406.117126,1,1,1
1053,1704461585416.116538,1,1,1
1054,1704461585426.116740,0,1,1
1055,1704461585436.117695,0,1,1
1056,1704461585446.116926,0,1,1
1057,1704461585456.125624,0,1,1
1058,1704461585466.117902,0,1,1
1059,1704461585476.132913,0,1,1
1060,1704461585486.182819,0,1,1
1061,1704461585496.236422,0,1,1
1062,1704461585506.291958,0,1,1
1063,1704461585516.146327,0,1,1
1064,1704461585526.208977,0,1,1
1065,1704461585536.262480,0,1,1
1066,1704461585546.324749,0,1,1
1067,1704461585556.121220,0,1,1
1068,1704461585566.123356,0,1,1
1069,1704461585576.122647,0,1,1
1070,1704461585586.120035,0,1,1
1071,1704461585596.118875,0,1,1
1072,1704461585606.120019,0,1,1
1073,1704461585616.119912,0,1,1
1074,1704461585626.120024,0,1,1
1075,1704461585636.119716,0,1,1
1076,1704461585646.122183,0,1,1
1077,1704461585656.163373,0,1,1
1078,1704461585666.137196,0,1,1
1079,1704461585676.218962,0,1,1
1080,1704461585686.300978,0,1,1
1081,1704461585696.120472,0,1,1
1082,1704461585706.124942,0,1,1
